spoken,formal
临时身份证怎么办理？,居民可向户籍所在地派出所或政务服务大厅申请办理临时居民身份证，一般3个工作日内办结。
不动产权证怎么办理？,申请人办理不动产权证需向不动产登记机构提交身份证、购房合同、完税证明等相关材料，审核通过后颁发证书。
营业执照注销怎么办理？,企业注销营业执照需先办理税务注销、清算备案等手续，再向登记机关提交注销申请及相关材料。
政务服务有咨询电话吗？,各地政务服务热线统一为12345，申请人可拨打热线咨询政务办理相关问题。
出生证明怎么办理？,新生儿出生后，父母需携带身份证、户口簿、结婚证等材料，到分娩医院申请办理出生医学证明。
社保转移能网上办理吗？,社保关系转移可通过国家社会保险公共服务平台、政务APP等线上渠道办理，无需现场提交材料。
婚姻登记需要什么材料？,办理结婚登记需提供双方身份证、户口簿、近期免冠合影照片等材料；离婚登记需提供身份证、户口簿、结婚证、离婚协议书等材料。
居住证怎么办理？,非本地户籍居民办理居住证，需向居住地派出所提交身份证、居住证明等材料，审核通过后发放居住证。
老年证怎么办理？,年满60周岁的老年人可携带身份证、户口簿等材料，到户籍所在地或居住地社区居委会申请办理老年证。
残疾证怎么办理？,申请人需向户籍所在地残联提交身份证、户口簿、医疗诊断证明等材料，经评定合格后颁发残疾证。
大病保险怎么报销？,参保人员发生的大病医疗费用，经基本医保报销后，剩余符合条件的费用可按大病保险政策进一步报销。
健康证怎么办理？,从业人员办理健康证需到指定医疗机构进行体检，体检合格后颁发健康证明。
驾照到期了怎么换证？,机动车驾驶证有效期届满前90日内，驾驶人可向车管所提交身份证、体检证明等材料申请换证。
护照怎么办理？,申请人办理护照需向公安机关出入境管理部门提交身份证、照片等材料，审核通过后颁发护照。
港澳通行证怎么办理？,申请人办理港澳通行证需向公安机关出入境管理部门提交身份证、照片等材料，按规定办理签注。
社保卡怎么激活？,参保人可携带社保卡和身份证到社保卡合作银行网点，或通过自助终端办理社保卡激活手续。
医保电子凭证怎么激活？,参保人员可通过国家医保服务APP、微信、支付宝等渠道激活医保电子凭证，用于就医结算。
租房备案怎么办理？,房屋租赁双方需携带身份证、租赁合同、房产证等材料，到房屋所在地街道办事处办理租赁备案手续。
公积金卡丢了怎么补办？,缴存职工公积金卡遗失后，可到发卡银行申请挂失补办，补办后需到公积金管理中心关联账户。
就业失业登记证怎么办理？,失业人员可向户籍所在地或就业地人社部门提交身份证、解除劳动合同证明等材料，申请办理就业失业登记证。
退休手续怎么办理？,达到法定退休年龄的职工，由用人单位或本人向社保经办机构提交退休申请及相关材料，办理退休手续。
生育保险怎么报销？,参保女职工生育后，可向医保经办机构提交身份证、生育证明、医疗费用票据等材料，申请生育保险报销。
工伤保险怎么申请？,职工发生工伤后，用人单位需在30日内向社保经办机构申请工伤认定，认定后按规定享受工伤保险待遇。
失业保险金能领多久？,失业保险金领取期限根据缴费年限确定，最长不超过24个月，具体按相关规定执行。
公证怎么办理？,申请人需向公证处提交身份证、相关证明材料等，经公证员审核后办理公证手续。
法律援助怎么申请？,符合法律援助条件的申请人，可向当地法律援助中心提交申请及相关证明材料，获得免费法律服务。
信访怎么反映问题？,公民可通过信访部门窗口、信访网站、信访热线等渠道，依法有序反映合理诉求。
社保查询怎么查？,参保人员可通过政务服务平台、社保经办机构窗口、自助终端等渠道查询社保缴费信息。
失业了社保怎么交？,失业人员可凭失业证明以灵活就业人员身份继续缴纳养老保险和医疗保险。
社保交满15年就不用交了吗？,养老保险累计缴费满15年是领取养老金的最低条件，未达到退休年龄的可继续缴纳，缴费年限越长待遇越高。
医保门诊能报销吗？,职工基本医疗保险参保人员在定点医疗机构发生的门诊医疗费用，符合规定的可按比例报销。
社保转移需要多久？,社会保险关系转移业务办理时限一般为15-30个工作日，具体以经办机构实际办理情况为准。
退休后社保能异地领取吗？,退休人员可按规定在异地领取基本养老金，无需返回参保地，资金直接发放至指定银行账户。
分公司怎么办营业执照？,设立分公司需向分公司所在地登记机关提交总公司营业执照、分公司设立登记申请书等材料。
营业执照上的地址能改吗？,企业经营场所变更的，需向登记机关申请办理营业执照地址变更登记。
电子商务营业执照怎么办理？,从事电子商务经营的市场主体，可通过线上政务平台或登记机关窗口申请办理营业执照。
办营业执照需要提前准备什么？,办理营业执照前，需提前准备身份证、经营场所证明、公司章程（企业）等相关材料。
办营业执照需要验资吗？,当前设立企业一般无需提供验资报告，实行注册资本认缴登记制。
营业执照的经营范围怎么写？,营业执照经营范围应按国民经济行业分类标准规范填写，涵盖企业实际经营项目。
异地能办营业执照吗？,经营者需向经营场所所在地登记机关申请办理营业执照，异地经营需按规定设立分支机构。
营业执照副本有什么用？,营业执照副本可作为企业从事经营活动的合法凭证，用于签订合同、办理相关业务等。
个体户营业执照有效期是多久？,个体工商户营业执照长期有效，除非被依法吊销、注销或申请变更登记。
低保申请需要提交什么材料？,申请最低生活保障需提交身份证、户口簿、家庭收入证明、财产状况证明等相关材料。
低保户能享受廉租房吗？,最低生活保障家庭符合住房保障条件的，可按规定申请廉租房、公租房等住房保障。
临时困难能申请低保吗？,因突发事件导致家庭临时困难的，可申请临时救助，不符合低保条件的不纳入低保范围。
低保金能补发吗？,经审核确认符合低保条件但未及时发放保障金的，可按规定补发相应期限的低保金。
共同生活的家庭成员怎么认定？,最低生活保障共同生活家庭成员按《社会救助暂行办法》相关规定进行认定，包括配偶、父母、子女等。
低保申请被拒了怎么办？,低保申请未通过的，申请人可向审核机关申请复核，或向上级民政部门申请行政复议。
补贴申请多久能审核通过？,补贴申请审核时限一般为10-15个工作日，审核结果将通过短信或政务平台告知申请人。
补贴发放失败怎么办？,补贴发放失败的，申请人可检查银行账户信息是否正确，或联系补贴发放部门核实处理。
补贴需要交个人所得税吗？,按国家规定发放的专项补贴、救助金等，符合条件的可免征个人所得税。
补贴申请材料不全怎么办？,补贴申请材料不全的，申请人需按审核部门要求补充相关材料后，重新提交申请。
补贴能重复申请吗？,同一申请人同一事项不得重复申请补贴，符合多项补贴条件的可按规定分别申请。
补贴政策什么时候截止？,相关补贴政策实施期限以政府发布的政策文件为准，截止前提交的申请按规定审核发放。
公积金贷款年限最长是多久？,住房公积金贷款最长期限一般不超过30年，具体以当地公积金管理中心规定为准。
公积金账户余额能继承吗？,职工死亡后，住房公积金账户余额可由继承人或受遗赠人按规定提取继承。
公积金贷款利息是多少？,住房公积金贷款利率按中国人民银行公布的基准利率执行，低于商业住房贷款利率。
公积金能补缴吗？,用人单位未按时缴存住房公积金的，可按规定为职工补缴欠缴的公积金。
个人能交公积金吗？,灵活就业人员部分地区可按规定以个人身份缴存住房公积金，具体以当地政策为准。
公积金贷款提前还款有违约金吗？,住房公积金贷款提前还款一般不收取违约金，具体以贷款合同及当地规定为准。
发票丢了怎么办？,发票遗失后，购票方需按规定向税务机关报告，并登报声明作废，再按相关流程处理。
企业所得税怎么交？,企业所得税按纳税年度计算，分月或分季预缴，年度终了后5个月内办理汇算清缴。
个税专项附加扣除怎么申报？,纳税人可通过个人所得税APP填写专项附加扣除信息，提交后由税务机关审核确认。
偷税漏税会有什么后果？,纳税人偷税漏税的，税务机关将追缴其不缴或者少缴的税款、滞纳金，并处相应罚款；构成犯罪的，依法追究刑事责任。
小规模纳税人税率是多少？,增值税小规模纳税人适用3%的征收率，特殊业务按相关规定执行。
